Año,Mes,temp_promedio
2020,1,14.56
2020,2,14.45
2020,3,14.31
2020,4,13.16
2020,5,12.97
2020,6,11.04
2020,7,10.56
2020,8,10.52
2020,9,11.15
2020,10,11.88
2020,11,13.12
2020,12,13.6
2020,1,15.44
2020,2,14.28
2020,3,14.21
2020,4,11.95
2020,5,10.04
2020,6,8.87
2020,7,9.23
2020,8,7.34
2020,9,8.52
2020,10,9.94
2020,11,13.71
2020,12,13.64
2020,1,9.28
2020,2,9.77
2020,3,9.55
2020,4,8.71
2020,5,7.81
2020,6,6.86
2020,7,5.86
2020,8,5.6
2020,9,5.87
2020,10,6.42
2020,11,7.45
2020,12,8.2
2021,1,19.13
2021,2,17.87
2021,3,18.38
2021,4,17.07
2021,5,16.63
2021,6,16.35
2021,7,15.92
2021,8,15.53
2021,9,15.15
2021,10,15.22
2021,11,16.22
2021,12,17.4
2021,1,16.66
2021,2,15.78
2021,3,16.05
2021,4,15.8
2021,5,15.59
2021,6,15.49
2021,7,15.22
2021,8,14.95
2021,9,14.69
2021,10,14.66
2021,11,15.65
2021,12,16.3
2021,1,19.58
2021,2,18.78
2021,3,19.26
2021,4,17.1
2021,5,16.0
2021,6,15.27
2021,7,14.9
2021,8,14.93
2021,9,14.88
2021,10,15.49
2021,11,16.86
2021,12,17.68
2021,1,18.56
2021,2,19.83
2021,3,20.41
2021,4,19.93
2021,6,18.39
2021,7,17.55
2021,9,16.85
2021,10,16.47
2021,11,16.35
2021,12,18.09
2021,1,25.11
2021,2,25.76
2021,3,25.44
2021,4,24.6
2021,5,23.03
2021,6,22.1
2021,7,20.82
2021,8,20.7
2021,9,20.4
2021,10,20.69
2021,11,22.56
2021,12,23.52
2021,1,17.06
2021,2,16.35
2021,3,15.97
2021,4,15.69
2021,5,15.07
2021,6,14.47
2021,7,13.93
2021,8,13.92
2021,9,13.83
2021,10,14.7
2021,11,15.46
2021,12,15.41
2021,1,17.61
2021,2,17.66
2021,3,17.66
2021,4,15.54
2021,5,14.97
2021,6,13.64
2021,7,13.18
2021,8,13.29
2021,9,13.87
2021,10,14.47
2021,11,15.46
2021,12,16.1
2021,1,18.07
2021,2,19.35
2021,3,19.7
2021,4,18.92
2021,5,17.21
2021,6,16.28
2021,7,15.24
2021,8,14.37
2021,9,14.05
2021,10,14.22
2021,11,14.95
2021,12,16.42
2021,1,14.79
2021,2,14.8
2021,3,14.72
2021,4,13.9
2021,5,14.17
2021,6,12.55
2021,7,12.17
2021,8,12.4
2021,9,12.68
2021,10,12.7
2021,11,13.09
2021,12,15.31
2021,1,15.36
2021,2,15.36
2021,3,14.84
2021,4,13.52
2021,5,13.41
2021,6,12.22
2021,7,11.85
2021,8,12.0
2021,9,12.57
2021,10,12.15
2021,11,12.86
2021,12,15.89
2021,1,13.26
2021,2,15.65
2021,3,14.64
2021,4,13.53
2021,5,13.17
2021,6,12.22
2021,7,11.19
2021,8,11.42
2021,9,12.5
2021,10,12.92
2021,11,12.3
2021,12,13.82
2021,1,14.01
2021,2,13.9
2021,3,13.41
2021,4,13.12
2021,5,12.51
2021,6,11.59
2021,7,10.67
2021,8,10.34
2021,9,11.59
2021,10,12.33
2021,11,13.58
2021,12,13.72
2021,1,14.41
2021,2,15.41
2021,3,13.98
2021,4,11.48
2021,5,10.1
2021,6,9.4
2021,7,9.19
2021,8,9.13
2021,9,9.63
2021,10,10.28
2021,11,11.8
2021,12,13.79
2021,1,14.23
2021,2,14.13
2021,3,13.74
2021,4,12.9
2021,5,12.06
2021,6,11.09
2021,7,10.38
2021,8,10.05
2021,9,11.09
2021,10,11.89
2021,11,13.26
2021,12,14.65
2021,1,15.14
2021,2,16.42
2021,3,14.2
2021,4,11.91
2021,5,10.69
2021,6,8.84
2021,7,7.13
2021,8,8.29
2021,9,9.15
2021,10,10.06
2021,11,12.87
2021,12,16.93
2021,1,8.98
2021,2,9.5
2021,3,9.1
2021,4,8.41
2021,5,7.57
2021,6,6.49
2021,7,6.54
2021,8,6.32
2021,9,6.48
2021,10,6.8
2021,11,7.6
2021,12,8.72
2022,1,17.94
2022,2,17.59
2022,3,17.48
2022,4,16.63
2022,5,16.72
2022,6,16.05
2022,7,15.64
2022,8,15.45
2022,9,15.05
2022,10,15.24
2022,11,16.9
2022,12,17.64
2022,1,15.73
2022,2,15.7
2022,3,15.3
2022,4,15.54
2022,5,15.33
2022,6,15.63
2022,7,15.23
2022,8,15.08
2022,9,14.5
2022,10,14.63
2022,11,15.67
2022,12,16.12
2022,1,19.03
2022,2,18.9
2022,3,17.54
2022,4,16.36
2022,5,15.49
2022,6,14.94
2022,7,15.22
2022,8,14.9
2022,9,15.33
2022,10,16.07
2022,11,17.65
2022,12,19.28
2022,1,20.22
2022,2,21.19
2022,4,19.38
2022,5,18.4
2022,7,16.91
2022,8,16.28
2022,9,16.19
2022,10,16.0
2022,11,16.93
2022,12,18.32
2022,1,24.39
2022,2,24.99
2022,3,25.01
2022,4,23.91
2022,5,22.59
2022,6,21.82
2022,7,21.14
2022,8,20.88
2022,9,20.63
2022,10,21.23
2022,11,22.38
2022,12,23.95
2022,1,16.75
2022,2,16.47
2022,3,16.46
2022,4,15.44
2022,5,14.73
2022,6,14.34
2022,7,13.92
2022,8,13.9
2022,9,14.21
2022,10,14.8
2022,11,16.27
2022,12,16.96
2022,1,18.37
2022,2,17.98
2022,3,16.95
2022,4,15.06
2022,5,14.13
2022,6,13.0
2022,7,13.12
2022,8,13.43
2022,9,13.39
2022,10,14.23
2022,11,15.59
2022,12,17.43
2022,1,18.25
2022,2,18.91
2022,3,18.87
2022,4,17.47
2022,5,16.89
2022,6,15.72
2022,7,14.06
2022,8,13.63
2022,9,14.03
2022,10,14.55
2022,11,15.93
2022,12,18.6
2022,1,13.15
2022,2,15.83
2022,3,13.65
2022,4,12.83
2022,5,12.95
2022,6,13.01
2022,7,12.89
2022,8,12.27
2022,9,12.07
2022,10,12.56
2022,11,13.45
2022,12,14.87
2022,1,14.57
2022,2,16.28
2022,3,13.54
2022,4,12.39
