ESPECIE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,Total,Año,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CENTOLLA,-,-,-,-,-,-,3,15,15,23,40,31,127.0,2020,,,,,,,,,,,,,
CENTOLLA,-,-,-,-,-,-,3,14,16,11,20,8,72.0,2021,,,,,,,,,,,,,
CENTOLLA,,,,,,,,,,,,,,2022,-,-,-,-,-,-,2,12,7,13,14,5,53
CENTOLLA,,,,,,,,,,,,,,2023,-,-,-,-,-,-,2,4,6,10,17,7,46
CENTOLLA,-,-,-,-,-,-,14,7,7,10,8,3,49.0,2024,,,,,,,,,,,,,
